id ymd run task_version session_time
10156 20090711 1 12AV 10:39:39
10156 20090711 2 1AV 10:18:10
10156 20090711 3 7VA 10:25:36
10156 20090711 4 9VA 10:32:37
10160 20080328 1 10VA 10:16:58
10160 20080328 2 5AV 10:31:39
10160 20080328 3 9AV 10:24:13
10160 20080328 4 9VA 10:40:02
10161 20070719 1 10VA 16:21:52
10161 20070719 2 3AV 16:29:31
10161 20070719 3 7AV 16:14:41
10161 20070719 4 7VA 16:36:49
10161 20081023 1 10AV 18:01:09
10161 20081023 2 11VA 17:53:46
10161 20081023 3 1VA 17:38:16
10161 20081023 4 3AV 17:46:13
10161 20090820 1 12AV 15:23:54
10161 20090820 2 1AV 15:09:23
10161 20090820 3 1VA 15:31:03
10161 20090820 4 6VA 15:16:34
10162 20061220 1 10AV 16:38:39
10162 20061220 2 1VA 16:24:03
10162 20061220 3 2VA 16:31:18
10162 20061220 4 8AV 16:16:31
10162 20071219 1 10AV 14:29:09
10162 20071219 2 12VA 14:46:08
10162 20071219 3 2AV 14:38:50
10162 20071219 4 3VA 14:20:28
10162 20081215 1 11AV 16:53:36
10162 20081215 2 12AV 16:46:25
10162 20081215 3 6VA 17:00:50
10162 20081215 4 7VA 16:38:17
10163 20060731 1 12AV 17:18:45
10163 20060731 2 1VA 17:26:06
10163 20060731 3 4AV 17:33:19
10163 20060731 4 4VA 17:42:46
10163 20070712 1 11VA 16:33:27
10163 20070712 2 5AV 16:18:54
10163 20070712 3 6VA 16:26:27
10163 20070712 4 7AV 16:40:34
10163 20091010 1 4VA 09:51:58
10163 20091010 2 7AV 09:59:09
10163 20091010 3 8AV 09:44:23
10163 20091010 4 9VA 10:07:14
10167 20070630 1 10VA 11:02:28
10167 20070630 2 3AV 11:10:29
10167 20070630 3 3VA 11:24:41
10167 20070630 4 6AV 11:17:35
10167 20090512 1 12VA 18:18:06
10167 20090512 2 3VA 18:25:29
10167 20090512 3 4AV 18:07:48
10167 20090512 4 6AV 18:32:34
10169 20060603 1 11AV 11:56:57
10169 20060603 2 4AV 12:04:10
10169 20060603 3 7VA 12:11:26
10169 20060603 4 9VA 11:49:26
10169 20070303 1 11VA 15:07:43
10169 20070303 2 12AV 15:00:46
10169 20070303 3 1AV 14:53:15
10169 20070303 4 1VA 14:45:38
10169 20090613 1 10VA 12:01:01
10169 20090613 2 11AV 11:46:50
10169 20090613 3 11VA 11:37:24
10169 20090613 4 2AV 11:53:59
10170 20060603 1 4AV 10:27:17
10170 20060603 2 5VA 10:37:03
10170 20060603 3 6AV 10:44:22
10170 20060603 4 6VA 10:51:35
10173 20051128 1 10AV 17:21:46
10173 20051128 2 10VA 17:10:54
10173 20051128 3 1VA 17:31:44
10173 20051128 4 6AV 17:42:42
10173 20051128 5 List10AV 17:45:26
10173 20051128 6 List10VA 17:36:36
10173 20051128 7 List1VA 17:53:05
10173 20051128 8 List6AV 18:02:15
10173 20061207 1 10VA 17:17:35
10173 20061207 2 11AV 17:25:57
10173 20061207 3 3VA 17:02:29
10173 20061207 4 4AV 17:10:16
10173 20070818 1 10VA 10:13:42
10173 20070818 2 11AV 10:06:38
10173 20070818 3 3VA 09:52:00
10173 20070818 4 9AV 09:59:33
10173 20090121 1 11VA 16:55:16
10173 20090121 2 4VA 17:09:38
10173 20090121 3 8AV 17:16:53
10173 20090121 4 9AV 17:02:30
10173 20090826 1 10VA 19:33:09
10173 20090826 2 11AV 19:25:49
10173 20090826 3 2VA 19:47:17
10173 20090826 4 4AV 19:40:09
10174 20060518 1 11VA 17:26:22
10174 20060518 2 5AV 17:10:20
10174 20060518 3 7AV 17:34:05
10174 20060518 4 9VA 17:18:36
10174 20070509 1 10VA 17:41:10
10174 20070509 2 12AV 17:32:41
10174 20070509 3 12VA 17:25:23
10174 20070509 4 3AV 17:18:06
10174 20080828 1 11VA 17:50:11
10174 20080828 2 12AV 17:43:07
10174 20080828 3 7AV 17:36:19
10174 20080828 4 8VA 17:22:21
10174 20090822 1 12VA 10:40:41
10174 20090822 2 6AV 10:55:22
10174 20090822 3 7AV 10:48:09
10174 20090822 4 7VA 11:03:06
10175 20061113 1 1VA 17:22:16
10175 20061113 2 2AV 17:29:25
10175 20061113 3 4AV 17:13:51
10175 20061113 4 5VA 17:36:29
10175 20071203 1 10AV 18:29:42
10175 20071203 2 11VA 18:43:48
10175 20071203 3 3AV 18:36:47
10175 20071203 4 6VA 18:22:34
10175 20081218 1 10VA 17:42:17
10175 20081218 2 11AV 17:34:57
10175 20081218 3 6AV 17:49:21
10175 20081218 4 8VA 17:57:11
10175 20100608 1 12VA 17:52:48
10175 20100608 2 4AV 17:30:36
10175 20100608 3 6AV 17:45:34
10175 20100608 4 6VA 17:38:24
10176 20061106 1 10VA 17:41:54
10176 20061106 2 11AV 17:27:51
10176 20061106 3 7AV 17:34:54
10176 20080818 1 1AV 18:58:27
10176 20080818 2 1VA 18:51:08
10176 20080818 3 5VA 18:35:42
10176 20080818 4 7AV 18:43:51
10176 20090601 1 10AV 18:07:15
10176 20090601 2 3VA 17:59:48
10176 20090601 3 6VA 18:21:06
10176 20090601 4 9AV 18:14:21
10177 20051117 1 List10AV 17:45:26
10177 20051117 2 List10VA 17:36:36
10177 20051117 3 List1VA 17:53:05
10177 20051117 4 List6AV 18:02:15
